Generating graph...
Graph Stats:
Number of nodes: 3270
Number of sources: 1
Number of sinks: 174
Number of edges: 9894
Computing BFS...
Done.
Found back edge 1-1225 -> 0-1235, id: 236 -> 184, dist: 7 -> 6  replaceable to 0-1245
Found back edge 1-1216 -> 0-0117, id: 238 -> 185, dist: 7 -> 6 -HIT replaceable to 0-1236
Found back edge 1-2516 -> 0-0517, id: 240 -> 177, dist: 7 -> 6 -HIT replaceable to 0-2526
Found back edge 1-1502 -> 0-1512, id: 243 -> 134, dist: 7 -> 6  
Found back edge 1-1502 -> 0-1522, id: 243 -> 46, dist: 7 -> 4  
Found back edge 1-1624 -> 0-0134, id: 244 -> 130, dist: 7 -> 6 -HIT replaceable to 0-1626
Found back edge 1-1624 -> 0-1625, id: 244 -> 210, dist: 7 -> 6  replaceable to 0-1626
Found back edge 1-3502 -> 0-3512, id: 245 -> 194, dist: 7 -> 6  
Found back edge 1-1124 -> 0-1134, id: 246 -> 201, dist: 7 -> 6  replaceable to 0-1126
Found back edge 1-1124 -> 0-1125, id: 246 -> 178, dist: 7 -> 6  replaceable to 0-1126
Found back edge 1-1224 -> 0-1234, id: 247 -> 204, dist: 7 -> 6  replaceable to 0-1244
Found back edge 1-1224 -> 0-1225, id: 247 -> 182, dist: 7 -> 6  replaceable to 0-1244
Found back edge 1-1503 -> 0-1513, id: 248 -> 47, dist: 7 -> 4  
Found back edge 1-1503 -> 0-1523, id: 248 -> 48, dist: 7 -> 4  
Found back edge 1-1604 -> 0-1624, id: 249 -> 153, dist: 7 -> 6  
Found back edge 1-1125 -> 0-1135, id: 250 -> 180, dist: 7 -> 6  replaceable to 0-1127
Found back edge 1-3503 -> 0-3523, id: 251 -> 186, dist: 7 -> 6  
Found back edge 1-3525 -> 0-3535, id: 252 -> 205, dist: 7 -> 6  replaceable to 0-0526
Found back edge 1-1134 -> 0-1135, id: 253 -> 180, dist: 7 -> 6  replaceable to 0-1145
Found back edge 1-1234 -> 0-1235, id: 254 -> 184, dist: 7 -> 6  replaceable to 0-1245
Found back edge 1-1625 -> 0-0135, id: 255 -> 164, dist: 7 -> 6 -HIT replaceable to 0-1626
Found back edge 1-1705 -> 0-1715, id: 256 -> 197, dist: 7 -> 6  
Found back edge 1-1705 -> 0-0125, id: 256 -> 127, dist: 7 -> 6 -HIT 
Found back edge 1-1516 -> 0-1517, id: 258 -> 171, dist: 7 -> 6  replaceable to 0-1526
Found back edge 1-1616 -> 0-1617, id: 259 -> 211, dist: 7 -> 6  replaceable to 0-0136
Found back edge 1-2511 -> 0-2512, id: 260 -> 151, dist: 7 -> 6  
Found back edge 1-2511 -> 0-2512, id: 260 -> 151, dist: 7 -> 6  
Found back edge 1-1611 -> 0-1612, id: 261 -> 155, dist: 7 -> 6  
Found back edge 1-1611 -> 0-1612, id: 261 -> 155, dist: 7 -> 6  
Found back edge 1-3511 -> 0-3512, id: 262 -> 194, dist: 7 -> 6  
Found back edge 1-3511 -> 0-3512, id: 262 -> 194, dist: 7 -> 6  
Found back edge 1-1711 -> 0-1713, id: 263 -> 198, dist: 7 -> 6  
Found back edge 1-1711 -> 0-1713, id: 263 -> 198, dist: 7 -> 6  
Found back edge 1-2512 -> 0-2523, id: 264 -> 137, dist: 7 -> 6  replaceable to 0-2522
Found back edge 1-2512 -> 0-0214, id: 264 -> 142, dist: 7 -> 6 -HIT replaceable to 0-2513
Found back edge 1-1612 -> 0-1622, id: 265 -> 156, dist: 7 -> 6  replaceable to 0-1614
Found back edge 1-1612 -> 0-0123, id: 265 -> 152, dist: 7 -> 6 -HIT replaceable to 0-0113
Found back edge 1-3512 -> 0-3523, id: 266 -> 186, dist: 7 -> 6  replaceable to 0-3513
